2014-09-26 22:23:04	negative	orjanoi	@RaymondJohansen @Fbnet_Jan @erna_solberg: &gt; på folk som har en annen politisk mening enn henne selv.
2014-09-27 08:59:12	neutral	Brgals	Skuffende av @hoyre og @erna_solberg som suller bort troverdighet og ansvar i et dekadent #ol2022
2014-09-26 22:22:21	positive	orjanoi	@RaymondJohansen @Fbnet_Jan @erna_solberg: Erna Solberg må være forsiktig med å anmelde folk siden det kan oppfattes som å stoppe kjeften &gt;
2014-10-02 08:29:39	negative	Oijans	Forrige helseministre var på villspor her @TorgeirM  Jeg venter på at @venstre skal lytte @erna_solberg @BentHHoyre @Hoyre  OL er ferdig nå
2014-09-26 22:20:53	neutral	orjanoi	@RaymondJohansen @Fbnet_Jan @erna_solberg: Anmeldte Erna Solberg en person som hadde truet henne? (Det var visst en asylsøker.)
2014-09-26 22:11:20	positive	orjanoi	@RaymondJohansen må kanskje forlate politikken siden han har anmeldt en med en annen politisk mening enn han selv. @Fbnet_Jan @erna_solberg
2014-09-26 22:04:52	negative	orjanoi	@jensstoltenberg @jonasgahrstore @Fbnet_Jan @erna_solberg @Siv_Jensen_FrP: Hva skal aksjesalget være godt for når Norge har masse penger?
2014-09-30 09:22:46	neutral	SkiNorge	Vi hadde blitt veldig #gladfor å få med @Hoyre sin stortingsgruppe på laget for @OSLO2O22 #OL2022 @erna_solberg http://t.co/aSIWzAZNMm
2014-09-21 17:26:56	positive	SosialistRuffen	@SVHeikki @erna_solberg hun hører vel mest på NHO og næringslivet som ikke akkurat er noen miljøforkjempere.
2014-09-26 17:54:11	negative	Mr_Sorhoy	Attraktive studier gir automatisk høyere opptakskrav.. Dette burde være en kjent markedsmekanisme for Høyre @konservativ @erna_solberg
2014-09-25 20:40:36	neutral	AsmaS94	@erna_solberg Er ingen vits å inngå avtaler med en korrupt leder. Han tenker ikke det beste for befolkningen!
2014-09-27 10:06:37	positive	Morten_Nico	@Natteramnoslo Det er den uforsonlige holdningen som hindrer verden i å gå videre... det er veien for konflikt. Ikke løsninger @erna_solberg
2014-09-26 21:44:18	negative	Fbnet_Jan	@orjanoi Anmeldelsen er ikke falsk, er innlevert etter alle lovens bokstaver helt korrekt. @AndersAnundsen @erna_solberg
2014-09-29 15:04:56	neutral	BenteSlaatten	IOC trenger Norge,DN @erna_solberg. Men No trenger ikke IOC. At IOC er i denne situasjonen kan de takke seg selv for, OL overlevd seg selv?
